id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-a-lange-sohne-lange-1-320-025-silver-dial-320-025-001,missing_source_url,,"A. Lange & Sohne Lange 1 320.025, Platinum, Silver Dial, 39 mm",,A. Lange & Sohne,NULL,NULL,,0,,1,0,/api/uploads/aviandco/products/a-lange-sohne-lange-1-320-025-001-1-00790043b2b5aad6.jpg,
avi-a-lange-sohne-odysseus-363-068-grey-dial-363-068-001,missing_source_url,,"A. Lange & Sohne Odysseus 363.068, 18K White Gold, Grey Index Dial, 41 mm",,A. Lange & Sohne,NULL,NULL,,0,,1,0,/api/uploads/aviandco/products/aviandco-404-oswaldo-local.jpg,
avi-audemars-piguet-26531ti-oo-1220ti-01-salmon-dial-26531ti-0,mismatch,name,"Audemars Piguet Royal Oak 26531TI, Titanium, Salmon Dial, 41 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,263900,0,3,0,/api/uploads/aviandco/products/26531ti-001-1-1-248c7c70c4f0c2e4.jpg,https://www.aviandco.com/audemars-piguet-26531ti-oo-1220ti-01-salmon-dial-26531ti-001
avi-audemars-piguet-code-11-59-15210bc-o-a002kb-02-black-dial-,mismatch,name,"Audemars Piguet Code 11.59 15210BC, 18K White Gold, Onyx Dial, 41 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,0,0,3,0,/api/uploads/aviandco/products/audemars-piguet-15210bc-oo-a002kb-02-0d68799b508477b4.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210bc-o-a002kb-02-black-dial-g015210bc-o-a002kb-02-001
avi-audemars-piguet-code-11-59-15210bc-oo-a002kb-01-blue-dial-,mismatch,name,"Audemars Piguet Code 11.59 15210BC, 18K White Gold, Smoked Lacquered Blue Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,,24900,24900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-15210bc-oo-a002kb-01-2e04feb0c94a7552.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210bc-oo-a002kb-01-blue-dial-g015210bc-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-15210cr-oo-a002kb-01-grey-dial-,mismatch,name;price;reference,"Audemars Piguet Code 11.59 15210CR, 18K White Gold, Smoked Lacquered Grey Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210CR.OO.A002KB.01,0,24900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210cr-oo-a002kb-01-c15aa686fbd15fd0.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210cr-oo-a002kb-01-grey-dial-g015210cr-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-15210cr-oo-a008kb-01-grey-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 15210CR, 18K White Gold, Grey Lacquered Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210CR.OO.A008KB.01,24900,24900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210cr-oo-a008kb-01-e65d5ffd38f6a790.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210cr-oo-a008kb-01-grey-dial-g015210cr-oo-a008kb-01-001
avi-audemars-piguet-code-11-59-15210or-oo-a002kb-01-black-dial,mismatch,name;reference,"Audemars Piguet Code 11.59 15210OR, 18K Rose Gold, Lacquered Black Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210OR.OO.A002KB.01,24900,24900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210or-oo-a002kb-01-ec92f963ab2d2f7f.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210or-oo-a002kb-01-black-dial-g015210or-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-15210or-oo-a002kb-02-purple-dia,mismatch,name;price;reference,"Audemars Piguet Code 11.59 15210OR, 18K Rose Gold, Smoked Lacquered Purple Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210OR.OO.A002KB.02,0,27900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210or-oo-a002kb-02-b29db4d0017e18db.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210or-oo-a002kb-02-purple-dial-g015210or-oo-a002kb-02-001
avi-audemars-piguet-code-11-59-15210or-oo-a002kb-03-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 15210OR, 18K Rose Gold, Smoke Lacquered Blue Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210OR.OO.A002KB.03,27900,27900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210or-oo-a002kb-03-1-265a9ee3a4d54f81.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210or-oo-a002kb-03-blue-dial-15210or-002
